,sender,label
1,103167,0
1,103173,17
1,103179,0
1,103185,0
1,103191,15
1,103197,0
1,103203,0
1,103209,0
1,103215,6
1,103221,0
1,103227,0
1,103233,8
1,103239,0
1,103245,0
1,103251,9
1,103257,0
1,103263,0
1,103269,0
1,103275,19
1,103281,0
1,103287,0
1,103293,11
1,103299,0
1,103305,0
1,103311,14
1,103317,0
1,103323,0
1,103329,0
1,103335,16
1,103341,0
1,103347,0
1,103353,7
1,103359,0
1,103365,0
1,103371,1
1,103377,0
1,103383,0
1,103389,0
1,103395,10
1,103401,0
1,103407,0
1,103413,3
1,103419,0
1,103425,0
1,103431,12
1,103437,0
1,103443,0
1,103449,0
1,103455,18
4,103461,0
1,103467,0
1,103473,2
1,103479,0
1,103485,0
1,103491,5
1,103497,0
1,103503,0
1,103509,0
1,103515,13
1,103521,0
1,103527,0
1,103533,4
1,103539,0
1,103545,0
1,103551,17
1,103557,0
1,103563,0
1,103569,0
1,103575,15
1,103581,0
1,103587,0
1,103593,6
1,103599,0
1,103605,0
1,103611,8
1,103617,0
1,103623,0
1,103629,0
1,103635,9
1,103641,0
1,103647,0
1,103653,19
1,103659,0
1,103665,0
1,103671,11
1,103677,0
1,103683,0
1,103689,0
1,103695,14
1,103701,0
1,103707,0
1,103713,16
1,103719,0
1,103725,0
1,103731,7
1,103737,0
1,103743,0
1,103749,0
1,103755,1
1,103761,0
1,103767,0
1,103773,10
1,103779,0
1,103785,0
1,103791,3
1,103797,0
1,103803,0
1,103809,0
1,103815,12
1,103821,0
1,103827,0
1,103833,18
1,103839,0
1,103845,0
1,103851,2
1,103857,0
1,103863,0
1,103869,0
1,103875,5
1,103881,0
1,103887,0
1,103893,13
1,103899,0
1,103905,0
1,103911,4
1,103917,0
1,103923,0
1,103929,0
1,103935,17
1,103941,0
1,103947,0
1,103953,15
1,103959,0
1,103965,0
1,103971,6
1,103977,0
1,103983,0
1,103989,0
1,103995,8
1,104001,0
1,104007,0
1,104013,9
1,104019,0
1,104025,0
1,104031,19
1,104037,0
1,104043,0
1,104049,0
1,104055,11
1,104061,0
1,104067,0
1,104073,14
1,104079,0
1,104085,0
1,104091,16
1,104097,0
1,104103,0
2,104109,0
1,104115,7
1,104121,0
1,104127,0
1,104133,1
1,104139,0
1,104145,0
1,104151,10
1,104157,0
1,104163,0
1,104169,0
1,104175,3
1,104181,0
1,104187,0
1,104193,12
1,104199,0
1,104205,0
1,104211,18
1,104217,0
1,104223,0
1,104229,0
1,104235,2
1,104241,0
1,104247,0
1,104253,5
1,104259,0
1,104265,0
1,104271,13
1,104277,0
1,104283,0
1,104289,0
1,104295,4
1,104301,0
1,104307,0
1,104313,17
1,104319,0
1,104325,0
1,104331,15
1,104337,0
1,104343,0
1,104349,0
1,104355,6
1,104361,0
1,104367,0
1,104373,8
1,104379,0
1,104385,0
1,104391,9
1,104397,0
1,104403,0
1,104409,0
1,104415,19
1,104421,0
1,104427,0
1,104433,11
1,104439,0
1,104445,0
1,104451,14
1,104457,0
1,104463,0
1,104469,0
1,104475,16
1,104481,0
1,104487,0
1,104493,7
1,104499,0
1,104505,0
1,104511,1
1,104517,0
1,104523,0
1,104529,0
1,104535,10
1,104541,0
1,104547,0
1,104553,3
1,104559,0
1,104565,0
1,104571,12
1,104577,0
1,104583,0
1,104589,0
1,104595,18
1,104601,0
1,104607,0
1,104613,2
1,104619,0
1,104625,0
1,104631,5
1,104637,0
1,104643,0
1,104649,0
1,104655,13
1,104661,0
1,104667,0
1,104673,4
1,104679,0
1,104685,0
1,104691,17
1,104697,0
1,104703,0
1,104709,0
1,104715,15
1,104721,0
1,104727,0
1,104733,6
1,104739,0
1,104745,0
1,104751,8
1,104757,0
1,104763,0
1,104769,0
1,104775,9
1,104781,0
1,104787,0
1,104793,19
1,104799,0
1,104805,0
1,104811,11
1,104817,0
1,104823,0
1,104829,0
1,104835,14
1,104841,0
1,104847,0
1,104853,16
1,104859,0
1,104865,0
1,104871,7
1,104877,0
1,104883,0
1,104889,0
1,104895,1
1,104901,0
1,104907,0
1,104913,10
1,104919,0
1,104925,0
1,104931,3
1,104937,0
1,104943,0
1,104949,0
1,104955,12
1,104961,0
1,104967,0
1,104973,18
1,104979,0
1,104985,0
1,104991,2
1,104997,0
1,105003,0
1,105009,0
1,105015,5
1,105021,0
1,105027,0
1,105033,13
1,105039,0
1,105045,0
1,105051,4
1,105057,0
1,105063,0
1,105069,0
1,105075,17
1,105081,0
1,105087,0
1,105093,15
1,105099,0
1,105105,0
1,105111,6
1,105117,0
